id;name;mail;billing_address;logo;description;waiting_list;exhibitor_list
1;faszinierenderweise sonnabends abduzieren;vorbehaltlich;woot zornig Kilogramm;zuunterst befreiend chaotisch;bekanntlich verfremden;false;false
2;vonstatten aha;obenauf Säugetier Sojabohne;sexy salutieren;testweise vermittels ha;johlen zugunsten;false;true
3;paarmal nebst Sport;nacheinander phooey rücksichtlich;Rassismus hierhin Periodensystem;boo klempnern;oh duh appellieren;true;true
4;anders kalken;vital imagefördernd;and meh;seitwärts jährlich;kneten;true;false
5;gen;grölen;exquisit whenever;ungerechnet;ausnahmsweise erfreulich gadzooks;false;false
6;vielmehr;zuleide ick;fasten lädieren schwärmen;besprühen;however mahlen;false;true
7;aber;durch;ausgangs zowie mobil;faktenreich zu;zelebrieren;false;false
8;vermittels if;talabwärts;instead wegen jährlich;gediegen indeed anstelle;schlecken gadzooks Schlucht;false;false
9;ohnegleichen;keinesfalls beeidigen eher;kapitelweise for zuliebe;samt gigantisch;links demonstrieren;false;false
10;Hagel pfft;emulgieren getreu;Landwirtschaft though yahoo;wherever ungestraft diesseits;phew;true;true
